Open,Close,High,Low,Volume,Date
14.87129,14.81714,14.97466,14.81714,,11/29/19
15.01404,14.92544,15.01404,14.86144,,11/28/19
15.05835,15.05342,15.12234,15.01404,203.00,11/27/19
15.33894,15.15188,15.33894,15.13711,4,317.00,11/26/19
15.25033,15.3537,15.35863,15.24541,752.00,11/25/19
15.21587,15.30448,15.30448,15.21587,,11/22/19
15.04358,15.1568,15.1568,14.92051,,11/21/19
14.97958,15.10757,15.10757,14.85652,,11/20/19
15.09773,15.12234,15.19126,15.01897,,11/19/19
15.17649,15.09773,15.23556,15.09773,691.00,11/18/19
15.13219,15.10757,15.13219,14.99435,,11/15/19
14.99928,15.10265,15.23064,14.99928,934.00,11/14/19
15.09281,14.97958,15.09281,14.90574,,11/13/19
15.17649,15.12234,15.17649,15.12234,1,524.00,11/12/19
15.27002,15.18634,15.32417,15.18634,161.00,11/11/19
15.32909,15.28479,15.32909,15.27002,,11/08/19
15.4177,15.38816,15.51123,15.34386,,11/07/19
15.49154,15.40293,15.6146,15.40293,381.00,11/06/19
15.22079,15.50631,15.55553,15.22079,10,259.00,11/05/19
14.97466,15.25033,15.25033,14.97466,,11/04/19
15.07311,15.07311,15.07311,15.07311,,11/01/19
15.19126,15.08296,15.19126,15.04358,,10/31/19
15.34878,15.18141,15.3734,15.18141,,10/30/19
15.32417,15.3734,15.4177,15.31925,,10/29/19
15.54077,15.3734,15.54077,15.3734,,10/28/19
15.43247,15.39801,15.44724,15.36355,,10/25/19
15.53092,15.4177,15.6146,15.4177,,10/24/19
14.86636,15.65891,15.71306,14.86636,203.00,10/23/19
15.21587,15.24048,15.25033,15.11742,,10/22/19
15.06819,15.25525,15.462,15.06819,,10/21/19
15.14203,15.09773,15.21587,15.09773,,10/18/19
15.3094,15.22079,15.34878,15.22079,,10/17/19
15.24541,15.3094,15.35863,15.19126,,10/16/19
15.01897,15.06819,15.16172,15.01897,,10/15/19
14.93036,15.0042,15.08788,14.93036,178.00,10/14/19
14.82206,15.02881,15.14203,14.82206,,10/11/19
14.70392,14.73345,14.73345,14.62023,,10/10/19
14.74822,14.77776,14.85652,14.74822,,10/09/19
14.91559,14.79252,14.91559,14.71376,71.00,10/08/19
15.02389,14.7876,15.02389,14.71868,,10/07/19
14.8959,14.99435,14.99435,14.87129,30.00,10/04/19
15.56538,15.28479,15.6146,15.27494,,10/02/19
15.8312,15.69337,15.86566,15.69337,,10/01/19
15.88535,15.86566,16.07733,15.86566,1,422.00,09/30/19
15.8952,15.92965,16.03303,15.84597,,09/27/19
15.77705,15.90504,15.91981,15.77213,366.00,09/26/19
15.7229,15.76228,15.87058,15.66875,711.00,09/25/19
16.09702,15.85581,16.10687,15.85581,,09/24/19
16.31854,16.08226,16.31854,16.08226,,09/23/19
16.29393,16.42192,16.48591,16.29393,20.00,09/20/19
16.21024,16.353,16.36285,16.19055,,09/19/19
16.25947,16.26439,16.3087,16.2447,,09/18/19
16.5696,16.33331,16.63851,16.31854,,09/17/19
16.75666,16.71728,16.8305,16.71728,,09/16/19
16.58929,16.83542,16.86495,16.58929,457.00,09/13/19
16.6582,16.55975,16.6582,16.55975,,09/12/19
16.67789,16.53514,16.67789,16.37269,,09/11/19
16.12656,16.52037,16.52037,16.12656,152.00,09/10/19
15.77213,16.26439,16.26439,15.77213,127.00,09/09/19
15.71798,15.71798,15.71798,15.71798,,09/06/19
15.47677,15.82628,15.95919,15.47677,,09/05/19
15.39309,15.44724,15.50138,15.39309,1,067.00,09/04/19
15.21095,15.24541,15.28479,15.20603,,09/03/19
15.25033,15.33401,15.37832,15.25033,102.00,09/02/19
14.96482,15.27494,15.33894,14.96482,,08/30/19
15.05342,15.14695,15.23064,15.05342,,08/29/19
14.95005,15.0485,15.22079,14.95005,,08/28/19
15.19618,15.2651,15.2651,15.1125,,08/27/19
14.95497,15.25033,15.26017,14.95497,,08/26/19
15.45708,15.03866,15.45708,15.03866,,08/23/19
15.34386,15.45216,15.526,15.20603,2,235.00,08/22/19
15.1125,15.32909,15.36355,15.1125,,08/21/19
